n_objects,train_ratio,trial_id,rank,true_rank,rmse,seed
100,0.75,0,10,10,0.0020450491372464652,35
100,0.75,0,11,10,0.006466542248294489,35
100,0.75,0,12,10,0.00918598237635079,35
100,0.75,1,8,10,0.01112967870123786,36
100,0.75,1,9,10,0.006242077902406764,36
100,0.75,1,10,10,0.0028471021851118974,36
100,0.75,1,11,10,0.006155674814561511,36
100,0.75,1,12,10,0.01426402460122912,36
100,0.75,2,8,10,0.009164374278744933,37
100,0.75,2,9,10,0.005207297068441931,37
100,0.75,2,10,10,0.0030640426520148665,37
100,0.75,2,11,10,0.005599965976600155,37
100,0.75,2,12,10,0.009078837502446991,37
100,0.75,3,8,10,0.007668756722936187,38
100,0.75,3,9,10,0.004285749633113698,38
100,0.75,3,10,10,0.0027010594445378254,38
100,0.75,3,11,10,0.005866697302199492,38
100,0.75,3,12,10,0.01058360190496241,38
100,0.75,4,8,10,0.009728668370990378,39
100,0.75,4,9,10,0.006655216110860388,39
100,0.75,4,10,10,0.0035317956542507494,39
100,0.75,4,11,10,0.007529133522995705,39
100,0.75,4,12,10,0.010982855235724584,39
100,0.8,0,8,10,0.008904547319855283,40
100,0.8,0,9,10,0.0052094289440243816,40
100,0.8,0,10,10,0.0015797590639728487,40
100,0.8,0,11,10,0.0036636751527481487,40
100,0.8,0,12,10,0.004989136625785402,40
100,0.8,1,8,10,0.00853686478159371,41
100,0.8,1,9,10,0.0045664698911068325,41
100,0.8,1,10,10,0.0008976553602447504,41
100,0.8,1,11,10,0.0022883963588945185,41
100,0.8,1,12,10,0.004480565206535754,41
100,0.8,2,8,10,0.00731843539102231,42
100,0.8,2,9,10,0.0038336879851992548,42
100,0.8,2,10,10,0.0011231518342128257,42
100,0.8,2,11,10,0.0028348693165946514,42
100,0.8,2,12,10,0.007296935082274915,42
100,0.8,3,8,10,0.00671530526464412,43
100,0.8,3,9,10,0.002919225840866742,43
100,0.8,3,10,10,0.001280844616545082,43
100,0.8,3,11,10,0.003455973840755091,43
100,0.8,3,12,10,0.00786643850711078,43
100,0.8,4,8,10,0.009861471766274589,44
100,0.8,4,9,10,0.005161549029384652,44
100,0.8,4,10,10,0.0010184551451571005,44
100,0.8,4,11,10,0.0026806728750259487,44
100,0.8,4,12,10,0.003938896975072505,44
200,0.4,0,8,10,0.11759994946230828,45
200,0.4,0,9,10,0.1281801823520282,45
200,0.4,0,10,10,0.14133560279176163,45
200,0.4,0,11,10,0.1474231711602206,45
200,0.4,0,12,10,0.1546111972450544,45
200,0.4,1,8,10,0.12341822224958303,46
200,0.4,1,9,10,0.13238099109264415,46
200,0.4,1,10,10,0.1436329197752702,46
200,0.4,1,11,10,0.1570286137605394,46
200,0.4,1,12,10,0.1651986999444695,46
200,0.4,2,8,10,0.15571754925687326,47
200,0.4,2,9,10,0.1679491411279889,47
200,0.4,2,10,10,0.18241568657394885,47
200,0.4,2,11,10,0.189791763663662,47
200,0.4,2,12,10,0.21514988008169636,47
200,0.4,3,8,10,0.1118308672211124,48
200,0.4,3,9,10,0.11873339517682133,48
200,0.4,3,10,10,0.13174242735334823,48
200,0.4,3,11,10,0.13634358491638016,48
200,0.4,3,12,10,0.13646481393208093,48
200,0.4,4,8,10,0.11142006794132246,49
200,0.4,4,9,10,0.14542047920420242,49
200,0.4,4,10,10,0.15574047076750572,49
200,0.4,4,11,10,0.16315378247609044,49
200,0.4,4,12,10,0.17295449108921657,49
200,0.45,0,8,10,0.07583280774199794,50
200,0.45,0,9,10,0.07727541521522906,50
200,0.45,0,10,10,0.08417605046357009,50
200,0.45,0,11,10,0.09432580374398376,50
200,0.45,0,12,10,0.09983755540047105,50
200,0.45,1,8,10,0.07798429651332181,51
200,0.45,1,9,10,0.08542855148227159,51
200,0.45,1,10,10,0.08987043836630636,51
200,0.45,1,11,10,0.10209316204466096,51
200,0.45,1,12,10,0.1088492138823996,51
200,0.45,2,8,10,0.05902883876746886,52
200,0.45,2,9,10,0.0652844784291144,52
200,0.45,2,10,10,0.07552906063586039,52
200,0.45,2,11,10,0.0836522614101949,52
200,0.45,2,12,10,0.0943678340191307,52
200,0.45,3,8,10,0.06167367731742546,53
200,0.45,3,9,10,0.06766709749203116,53
200,0.45,3,10,10,0.07075428528852112,53
200,0.45,3,11,10,0.0767415439267009,53
200,0.45,3,12,10,0.08263629430074168,53
200,0.45,4,8,10,0.06099727484977673,54
200,0.45,4,9,10,0.0657035339808801,54
200,0.45,4,10,10,0.0779257832307312,54
200,0.45,4,11,10,0.07902020366127357,54
200,0.45,4,12,10,0.08820392973297453,54
200,0.5,0,8,10,0.04049734247257185,55
200,0.5,0,9,10,0.04828510360595843,55
200,0.5,0,10,10,0.04723344381410302,55
200,0.5,0,11,10,0.05092026138228522,55
200,0.5,0,12,10,0.056178296202509165,55
200,0.5,1,8,10,0.04257473342729229,56
200,0.5,1,9,10,0.04289608374430668,56
200,0.5,1,10,10,0.0494047061476655,56
200,0.5,1,11,10,0.05479692083742655,56
200,0.5,1,12,10,0.05952033693106406,56
200,0.5,2,8,10,0.035732285586032794,57
200,0.5,2,9,10,0.03367376244195003,57
200,0.5,2,10,10,0.04236921516147282,57
200,0.5,2,11,10,0.04746664753633242,57
200,0.5,2,12,10,0.048011536077964476,57
200,0.5,3,8,10,0.03945457905705702,58
200,0.5,3,9,10,0.04557890336347835,58
200,0.5,3,10,10,0.048611131532480194,58
200,0.5,3,11,10,0.052272223164299206,58
200,0.5,3,12,10,0.06289124731202761,58
200,0.5,4,8,10,0.033978111778902455,59
200,0.5,4,9,10,0.039413143151139134,59
200,0.5,4,10,10,0.0350799880678073,59
200,0.5,4,11,10,0.04257975084882819,59
200,0.5,4,12,10,0.045778190969440725,59
200,0.55,0,8,10,0.016855191089080266,60
200,0.55,0,9,10,0.01284874691409071,60
200,0.55,0,10,10,0.010135219097371298,60
200,0.55,0,11,10,0.013938893477786415,60
200,0.55,0,12,10,0.017053462348152863,60
200,0.55,1,8,10,0.017425237980415093,61
200,0.55,1,9,10,0.012306381285955606,61
200,0.55,1,10,10,0.013613078247920742,61
200,0.55,1,11,10,0.013219610464572214,61
200,0.55,1,12,10,0.015614668844655736,61
200,0.55,2,8,10,0.01986236925182924,62
200,0.55,2,9,10,0.016071049801083502,62
200,0.55,2,10,10,0.015590557119785074,62
200,0.55,2,11,10,0.017961459476950718,62
200,0.55,2,12,10,0.021647857612787844,62
200,0.55,3,8,10,0.012722887191224044,63
200,0.55,3,9,10,0.010319019126401614,63
200,0.55,3,10,10,0.008829545457698217,63
200,0.55,3,11,10,0.011569024938791866,63
200,0.55,3,12,10,0.014752658142506783,63
200,0.55,4,8,10,0.012078272086734088,64
200,0.55,4,9,10,0.010053250873569787,64
200,0.55,4,10,10,0.008197316026704116,64
200,0.55,4,11,10,0.009467858051798736,64
200,0.55,4,12,10,0.012310400784534345,64
200,0.6,0,8,10,0.01100694323284791,65
200,0.6,0,9,10,0.00594598257548021,65
200,0.6,0,10,10,0.0037562009954492125,65
200,0.6,0,11,10,0.006019230769229393,65
